seed,adjacency,head,loss,best_epoch,validation_macro_auroc,test_macro_auroc,test_micro_auroc
44,symmetric,dot,W-ASL-g2,12,0.6677854268925336,0.6707165559600915,0.6628464415782485
44,none,dot,W-ASL-g3,16,0.6930021008911673,0.6982430414834916,0.7413184172813211
44,asymmetric,dot,W-ASL-g3,51,0.6718034192062862,0.6890084317243348,0.7516056613944437
44,symmetric,dot,W-ASL-g3,25,0.6616629137781688,0.6665414957239475,0.6883110480022088
44,none,concat,W-BCE,9,0.7166456153816552,0.707930272435422,0.7344405330072706
44,asymmetric,concat,W-BCE,13,0.7123052040557499,0.7081713841870053,0.7409338474079333
44,symmetric,concat,W-BCE,37,0.7135541442393891,0.7028604737118599,0.7718539226127086
44,none,concat,W-ASL-g2,29,0.701573137312287,0.6703509297178011,0.7609199765971154
44,asymmetric,concat,W-ASL-g2,37,0.7075872858154476,0.6599019882400434,0.7563815590528405
44,symmetric,concat,W-ASL-g2,27,0.6962408139001163,0.6843797025268641,0.75982419897711
44,none,concat,W-ASL-g3,41,0.6966895262702052,0.6609405811548696,0.7668068538897435
44,asymmetric,concat,W-ASL-g3,42,0.695570523391258,0.6644181630167022,0.774377456974191
44,symmetric,concat,W-ASL-g3,46,0.6861863882396291,0.679183636708026,0.776201698681287
45,none,dot,W-BCE,27,0.7050004852164169,0.6800291061198175,0.7603661302409971
45,asymmetric,dot,W-BCE,8,0.7130949894998974,0.6890265490203301,0.6973163925373723
45,symmetric,dot,W-BCE,7,0.6912215879427216,0.6661882374131829,0.6639376996805112
45,none,dot,W-ASL-g2,27,0.6883098892152221,0.6781476525880659,0.7502177585821534
45,asymmetric,dot,W-ASL-g2,8,0.6861092602992719,0.6698201111590767,0.6976072851339091
45,symmetric,dot,W-ASL-g2,8,0.6807351522567263,0.6679662587657438,0.674873700022351
45,none,dot,W-ASL-g3,27,0.6859957706144241,0.6757521408637732,0.7482784746052407
45,asymmetric,dot,W-ASL-g3,16,0.6833369182078671,0.6785395277347073,0.7132678249779777
45,symmetric,dot,W-ASL-g3,8,0.6705011537787174,0.663707204056918,0.6801907072141364
45,none,concat,W-BCE,11,0.7164349496189893,0.6985239715246362,0.7414112728276733
45,asymmetric,concat,W-BCE,16,0.7106144125841903,0.674937255697449,0.7442150172892097
